Category,Family,File Name,Undetected Rate,Detected Rate
Seed,win.trojan.tepfer,b1c98537ef6f759cd8f328ffb0d27b68f04fce2ce61496cff77e57f814201e91.json,9.68%,90.32%
Seed,win.trojan.tepfer,955dd104c91d43633ea03e38306a95d08ee19c2a3e668c80ca1a32baae61ff4b.json,6.45%,93.55%
Seed,win.trojan.tepfer,0cd16826824ddda12fbe9fb16cce8ac923ab759729128226a749a7281117b62e.json,12.90%,87.10%
Seed,win.trojan.tepfer,4badef3f06a93de770611d6e931136639c3a14ccb983abe3f633b7d776566834.json,3.45%,96.55%
Seed,win.trojan.tepfer,68db9d1a67602e20f056472d370c6a6d86dd9b276ab87c9c86b561f6cdf3ddc2.json,6.45%,93.55%
Seed,win.trojan.tepfer,a39e88016512da10e3137e99a5fc675c02ea031c052badff482eab1ae86b1e40.json,12.90%,87.10%
Seed,win.trojan.tepfer,a973342e2807ddf304b67b556073313e175dbf8e96630d0c713927588bcd2c68.json,9.68%,90.32%
Seed,win.trojan.tepfer,0cc9db8c027d7a0d4b4012db214a93c7be6a3ea20768106e7b30a9e71109022a.json,6.45%,93.55%
Seed,win.trojan.tepfer,824cb0d5222064658d80079e78bdcd839e5cc4e420ca855955e4ed9e1f6077ce.json,9.68%,90.32%
Seed,win.trojan.tepfer,ba584c4ad14c72eade0287c549b88e0d7b37c8295069011a9ee61ac1fb407925.json,9.68%,90.32%
Seed,win.trojan.tepfer,852cd6ffd42a375278085d4df3a9f13fae890fa050cd39c7c79b235b7d5df0a2.json,6.45%,93.55%
Seed,win.trojan.tepfer,48e875022c0ce800f88cd756d8ad7c57c9b2cfa2aead8ad1bbf33fd02b3a67cc.json,6.25%,93.75%
Seed,win.trojan.tepfer,746e9d9696ab920643ddce7994f1d569aea21163d4f16a098c27533ec339de3b.json,9.68%,90.32%
Seed,win.trojan.tepfer,22939d7c993e8a8fc3f552c1829fcb348d76f2e0851840031f28387ec0b28ab8.json,9.68%,90.32%
Seed,win.trojan.tepfer,205f52be6c1456abd607724605c214048eb7862f616368771a1c20eebd2dc4ce.json,6.45%,93.55%
Seed,win.trojan.tepfer,29757bff9b9dd32b09115757df3aa292814d499c37207c5c8562a26df3cfcce1.json,3.23%,96.77%
Seed,win.trojan.tepfer,e29302139c5750d95df64cf5d50411443a25e93f23ced0026116f1042e5effdc.json,9.68%,90.32%
Seed,win.trojan.tepfer,acc58ec17fbc86e09ce6cc362be0fa1c7e6ff499df2080ccd8d1dbc4b0f71d43.json,6.45%,93.55%
Seed,win.trojan.tepfer,d3278bb5c0507a41f24320cbc9b2a43f471c7b6322aabffe2aecfe1af8f31fd3.json,3.12%,96.88%
Seed,win.trojan.tepfer,f772f85c13fd63fd141410e3a2cd64c8d1e33f62e429baa6df5a4f8d6c1bec1b.json,3.23%,96.77%
Seed,win.trojan.tepfer,0e150dad76dd6038b0b394244e97192077d9f9d4828ac1019494d4b43d1b6e28.json,6.45%,93.55%
Seed,win.trojan.tepfer,d4a9d0db311af4c719a51dd7eca8cb44ada31c23a52ac06e47a01b619d675330.json,6.45%,93.55%
Seed,win.trojan.tepfer,0cd8f5d4b00421df86872956bee33acc3b91a3a79bf6b44d57aac62132558371.json,3.12%,96.88%
