Research,Stress Test,기능 체크,신뢰성 평가,Bug Check,API Check,동적 분석,부팅 시간 측정,응답 시간 측정,자원 사용량 평가
Care: Lightweight Attack Resilient Secure Boot Architecture,√,,√,,,√,√,,√
Post-Quantum Hash-Based Signatures for Secure Boot,,,√,,,√,√,,√
Lightweight Secure-Boot Architecture for RISC-V,,√,√,,,√,√,,√
IRIS: An Embedded Secure Boot for IoT Devices,√,,√,,,√,√,,√
TPM Based Secure Boot in Embedded Systems,,,√,,,√,√,,√
Parallel Verification in RISC-V Secure Boot,√,√,,,,√,√,,
SmmPack: Obfuscation for SMM Modules with TPM,,,√,,,,,√,
TZ-MRAS: A Remote Attestation Scheme for the Mobile Terminal,,,√,,,,,√,√
Secure Design Flow of FPGA Based RISC-V Implementation,,,√,,,√,√,,√
CoCoTPM: Trusted Platform Modules for Virtual Machines,,√,√,,,,,√,
Sustaining the Trust of an IoT Infrastructure,,√,√,,,√,√,,√
CRYSTALS-Dilithium on RISC-V Processor: Lightweight Secure Boot Using Post-Quantum Digital Signature,,,√,,,√,√,,√
A TPCM-Based Trusted PXE Boot Method for Servers,,,√,,,√,√,,√
Performance of Secure Boot in Embedded Systems,√,,√,,,√,√,,√
Post-Quantum Hash-Based Signatures for Secure Boot,,√,√,,,√,√,,√
A Secure Boot Framework with Multi-security Features,,,√,,,√,√,,√
Lightweight Attack Resilient Secure Boot Architecture,√,√,√,,,√,√,,√
IoT Secure Boot for Programmable SoCs,,,√,,,√,√,,√
Trusted Boot for ARM IoT Devices,,,√,,,√,√,,√
Integrity and Security in Secure Boot,,,√,,,√,√,,√
Remote Attestation for Mobile Terminals,,,√,,,,,√,√
Secure System Design with TPM,,√,√,,,√,√,,√
