fam,type,cnt
win.dropper.zeus -> win.trojan.injector,[daily.ldb] -> [main.mdb],14
win.packed.zeus -> win.trojan.zbot,[daily.ldb] -> [main.mdb],73
win.dropper.cerber -> win.trojan.agent,[daily.ldb] -> [main.mdb],25
win.packed.zbot -> win.trojan.psw,[daily.ldb] -> [main.mdb],83
win.trojan.emotetu -> win.trojan.fakeav,[daily.ldb] -> [main.mdb],6
win.packed.zbot -> win.virus.gimemo,[daily.ldb] -> [main.mdb],1
win.malware.trojanfakeav -> win.trojan.fakeav,[main.ldb] -> [main.mdb],10
win.packed.zbot -> win.trojan.zbot,[daily.ldb] -> [main.mdb],12
win.dropper.detected -> win.trojan.fakeav,[daily.ldb] -> [main.mdb],63
win.packed.krucky -> win.trojan.agent,[main.ldb] -> [main.mdb],3
win.packed.zbot -> win.trojan.agent,[daily.ldb] -> [main.mdb],8
win.packed.zeroaccess -> win.trojan.dropper,[daily.ldb] -> [main.mdb],1
win.dropper.zeus -> win.trojan.zbot,[daily.ldb] -> [main.mdb],23
win.malware.fareit -> win.packed.zbot,[daily.ldb] -> [daily.ldb],4
win.packed.zbot -> win.packed.fareit,[daily.ldb] -> [daily.ldb],3
win.dropper.detected -> win.trojan.agent,[daily.ldb] -> [main.mdb],3
win.trojan.smartfortress -> win.trojan.agent,[daily.ldb] -> [main.mdb],16
win.packed.zeroaccess -> win.trojan.zaccess,[daily.ldb] -> [main.mdb],7
win.malware.ulise -> win.ransomware.teerac,[daily.ldb] -> [daily.ldb],1
win.trojan.smartfortress -> win.dropper.winwebsec,[daily.ldb] -> [daily.ldb],3
win.malware.trojanfakeav -> win.trojan.agent,[main.ldb] -> [main.mdb],3
win.packed.fareit -> win.packed.zbot,[daily.ldb] -> [daily.ldb],3
win.packed.generickdz -> win.trojan.generickdz,[daily.ldb] -> [daily.ldb],1
win.dropper.zeus -> win.trojan.agent,[daily.ldb] -> [main.mdb],1
win.packed.krucky -> win.trojan.fakeav,[main.ldb] -> [main.mdb],2
win.trojan.winwebsec -> win.trojan.agent,[daily.ldb] -> [main.mdb],1
win.packed.zeroaccess -> win.trojan.agent,[daily.ldb] -> [main.mdb],4
win.downloader.upatre -> win.trojan.upatre,[main.ldb] -> [main.mdb],1
win.trojan.agent -> heuristics.w32.parite.b,[main.mdb] -> None,1
win.malware.trojanfakeav -> win.trojan.fakealert,[main.ldb] -> [main.mdb],2
win.dropper.zeus -> win.trojan.kryptik,[daily.ldb] -> [main.mdb],1
win.trojan.cryptotorlocker2015 -> win.trojan.xorist,[main.ldb] -> [main.mdb],2
win.ransomware.zbot -> win.virus.agent,[daily.ldb] -> [main.mdb],1
win.packed.zeroaccess -> win.trojan.kryptik,[daily.ldb] -> [main.mdb],2
win.packed.zbot -> win.ransomware.zbot,[daily.ldb] -> [daily.ldb],1
win.packed.winwebsec -> win.malware.smartfortress,[daily.ldb] -> [daily.ldb],2
win.malware.qbot -> win.packed.zbot,[main.hsb] -> [daily.ldb],1
win.packed.zeroaccess -> win.trojan.zeroaccess,[daily.ldb] -> [main.mdb],1
win.packed.zbot -> win.virus.ginemo,[daily.ldb] -> [main.mdb],1
win.trojan.banker -> win.trojan.zbot,[main.ndb] -> [main.mdb],1
win.packed.zeroaccess -> win.trojan.sirefef,[daily.ldb] -> [main.mdb],1
